,x,y,yaw,xy err,speed_err,rewards
0,9.497386258088978e-12,2.7112003229484604e-25,-1.850919417734076e-11,0.0,0.0,0.0
1,0.05318964931099984,-9.945087815776262e-13,-1.8265389201133075e-11,0.0006723291171617748,1.0,0.4986638354414191
2,0.22346033686134614,1.0945372201717995e-05,0.00018287346739676027,0.0005065055552932561,1.0,0.49874674722235335
3,0.3769157853042537,5.0758576903621036e-05,0.00034632113777455237,0.00035420458128554525,1.0,0.4988228977093572
4,0.5302419183300312,0.00011266750228000465,0.0004650641663141996,0.00024335326958644347,1.0,0.49887832336520677
5,0.6834716961419139,0.000190064914643167,0.0005470681172559111,0.00016690019933012922,1.0,0.49891654990033496
6,0.8366317412317028,0.0002780852666304215,0.0006033383443053708,0.00011453737440200046,1.0,0.498942731312799
7,0.989742325706493,0.0003733778554373839,0.00064194741645629,7.868399358415751e-05,1.0,0.49896065800320794
8,1.1428183100725264,0.00047365343880421257,0.0006684627226558603,5.41162662095815e-05,1.0,0.4989729418668952
9,1.312874965955665,0.000589029320105168,0.0006885328434917958,3.5551995333199526e-05,1.0,0.4989822240023334
10,1.4489058187504371,0.0006833711992687,0.0006988341621592119,2.610813995580926e-05,1.0,0.4989869459300221
11,1.5509229514569967,0.000754957079268471,0.0007048023968287965,2.0639534314628705e-05,1.0,0.4989896802328427
12,1.6699381037221552,0.0008391455605656551,0.0007101608355162269,1.5745900978979526e-05,1.0,0.4989921270495105
13,1.788949327759269,0.0009238972027112459,0.0007142411166465302,1.2029383804461726e-05,1.0,0.49899398530809774
14,1.8909565969077922,0.0009968782374552405,0.0007168214661579243,9.699634328338503e-06,1.0,0.49899515018283586
15,1.992962211311567,0.0010700953861243717,0.0007188793948205152,7.849033938986047e-06,1.0,0.4989960754830305
16,2.1289677578433595,0.0011680087329564769,0.0007210835365785152,5.867068716952162e-06,1.0,0.4989970664656415
17,2.2649716816803265,0.0012661873959616931,0.0007227535001641527,4.3681599879449124e-06,1.0,0.498997815920006
18,2.434975008748564,0.0013891965200925234,0.0007243915538421852,2.8865501697963435e-06,1.0,0.4989985567249151
19,2.5879769829868082,0.001500105355327393,0.0007253755753660053,2.001285303990675e-06,1.0,0.498998999357348
20,2.74097831089978,0.001611139897011364,0.0007260481579494105,1.4004658261654356e-06,1.0,0.4989992997670869
21,2.8939791997634776,0.0017222615064572456,0.0007265175464143959,9.83607273412953e-07,1.0,0.4989995081963633
22,3.0469797904171334,0.001833444064708919,0.0007268468710375231,6.929331204430554e-07,1.0,0.4989996535334398
23,3.199980178535146,0.0019446694561047206,0.0007270786731963242,4.897183056800205e-07,1.0,0.49899975514084716
24,3.352980429104073,0.002055925044295198,0.0007272423448640987,3.473113179433638e-07,1.0,0.49899982634434104
25,3.505980586262578,0.0021672019906930685,0.0007273583071918389,2.4726591065914617e-07,1.0,0.4989998763670447
26,3.6759806874385355,0.00229086061475628,0.0007274491681563688,1.695429110734701e-07,1.0,0.4989999152285445
27,3.828980734247502,0.0024021644001605996,0.0007275036918352741,1.2390974508317935e-07,1.0,0.49899993804512743
28,3.9479807507681817,0.002488739096557851,0.000727534737979596,9.840730441689014e-08,1.0,0.4989999507963478
29,4.032980754718289,0.0025505802279703034,0.0007275523315675159,8.421646326150795e-08,1.0,0.4989999578917684
30,4.15198075187928,0.0026371601474328593,0.0007275737213445764,6.695159539228321e-08,1.0,0.4989999665242023
31,4.253980743435329,0.002711373370328327,0.0007275885496178525,5.5126901023108514e-08,1.0,0.4989999724365495
32,4.355980730770524,0.0027855879658696854,0.0007276005958702926,4.569089419304267e-08,1.0,0.4989999771545529
33,4.474980711928284,0.0028721730707079196,0.0007276121076658093,3.681797504948101e-08,1.0,0.4989999815910125
34,4.576980693122678,0.002946389861349873,0.0007276199127459471,3.099055054895869e-08,1.0,0.4989999845047247
35,4.678980672452883,0.003020607384954021,0.0007276264315829728,2.624471961000345e-08,1.0,0.4989999868776402
