,rewards
0,0.0
1,6.668617399136083
2,4.666322766896883
3,8.128931428518744
4,9.04948870155842
5,6.604114409543168
6,0.6147580421970193
7,3.926947292499375
8,3.188244769385703
9,6.945076043703872
10,6.885813836489538
11,8.348289166727975
12,-3.2359837696532825
13,-1.6871026111703156
14,6.800088696515102
15,7.4790682156794155
16,4.3566913961674585
17,3.1126196791080254
18,8.083449127867421
19,1.9936306735595117
20,8.222781881145385
21,5.169147974041608
22,8.042026674128783
23,10.05779969100564
24,6.995572686328378
25,9.237615655510734
26,7.070457291726466
27,7.494148323554393
28,7.875708404015607
29,3.7881009545001367
30,2.4706467962278262
31,6.351134243514252
32,6.265288453487468
33,6.525775043183701
34,2.439911462394976
35,10.276857167126478
36,7.197254684353406
37,4.529526573340741
38,3.042508912925035
39,7.405926019324854
40,0.46394049096607937
41,0.2812880081221891
42,7.352923018388377
43,3.5491306187812963
44,6.508421580043487
45,-20.269911919324223
46,3.6963934764200097
47,6.380859280844003
48,0.5734276275143166
49,1.365889798580394
50,6.776458799624811
51,-1.4743610318283196
52,6.0254244189916
53,6.2432218108493585
54,8.74850021096749
55,7.300526083424425
56,6.769016773206229
57,-0.3337068307444273
58,0.8339264117064307
59,5.58895961432655
60,8.324078411166784
61,9.038375291308139
62,4.166513802279915
63,7.58094515134149
64,10.982904460731174
65,7.16262907706042
66,4.313742691713947
67,6.500949520252515
68,6.531381674627709
69,10.197728783797789
70,1.0400756121093906
71,7.07626919536874
72,-1.4990134595522182
73,3.1569580755566227
74,6.592950266285671
75,2.6594486981345407
76,6.571932103630106
77,4.837960065350197
78,5.823732462530234
79,4.539788419879448
80,8.15516127333221
81,6.714734027876087
82,5.61728552309342
83,9.087181109938362
84,7.2047034296088786
85,3.855001075540306
86,9.266221162134203
87,9.469274045732533
88,1.6403933803367856
89,11.215378991956154
90,7.235380503379101
91,7.90449635790649
92,6.021375135644466
93,8.571355035307704
94,-18.82139874809846
95,9.318477114247202
96,6.06596443957051
97,7.1839794562212935
98,6.916111625891978
99,6.798753995063932
100,-1.4817854540297173
101,9.148984893486153
102,4.739454678144325
103,4.937706319530153
104,8.33114403375183
105,6.063239141547962
106,5.928893849105661
107,7.835370365300948
108,1.592609633985246
109,-43.66177239226
110,10.262882866386832
111,6.537035356157187
112,7.777721442806419
113,4.356759007485319
114,5.644278933184708
115,1.1879821184131583
116,9.558352609163158
117,2.848823742534611
118,8.59768771535029
119,8.299891492698588
120,7.203038980151055
121,6.826061243095217
122,4.682453560589417
123,5.484050439302037
124,6.613549971213794
125,-28.82209692326391
126,8.610517314182337
127,3.958359891385639
128,6.892372894865176
129,10.313455796197012
130,-23.820638043743504
131,6.921743030392254
132,7.518934828111012
133,4.205849657708269
134,7.350246439319111
135,6.34784844703832
136,7.768542192529874
137,1.7376129214737421
138,9.43241131705051
139,5.879936212675376
140,-14.797552666955891
141,4.337598759912526
142,5.931693750513934
143,8.598545927950193
144,9.026436297776979
145,8.387993454064004
146,9.119080148551578
147,3.458753418450457
148,6.901355176311695
149,9.412951462588996
150,9.571207100628541
151,6.389369404710611
152,8.94209440541335
153,7.457691541375475
154,9.659655073692091
155,8.055411073947802
156,7.1916828010236244
157,8.59653625330142
158,9.176510167385548
159,6.173414550273035
160,-0.015364500244697155
161,8.259792727534348
162,8.475801611334582
163,7.497898267358279
164,7.433743719180952
165,7.585661955845322
166,8.785980809979028
167,6.8922132704904495
168,10.41401438450018
169,10.362013144408019
170,5.729208753641723
171,6.084271650799895
172,6.749151406517052
173,8.800089553762932
174,5.659404185147263
175,5.1641323254961184
176,8.654096091548487
177,10.605556134036222
178,9.630103107761496
179,9.238816221296013
180,7.587181830486852
181,7.882094502265991
182,4.081804752753555
183,6.758934672483703
184,4.955714003837794
185,6.728040199031856
186,6.4964083214160935
187,10.27700543203753
188,8.896150654955916
189,-2.0934324524820696
190,8.163645992442035
191,8.748468579569057
192,7.191339392886796
193,7.022693832482382
194,2.351438040895852
195,9.766781892206856
196,9.41483121039206
197,6.17148123214116
198,9.076797053293452
199,9.531453325681852
200,9.676676852454243
201,11.205431279119935
202,11.285551826941768
203,11.226043669340719
204,11.20630494503626
205,11.211064322691174
206,7.9552033512673965
207,3.5477754064748748
208,0.8783484015221656
209,7.799501672042949
210,10.208189390236612
211,2.746442820022404
212,11.21386296696639
213,11.306853420342607
214,6.976973883004701
215,7.785100323784299
216,11.21216544139816
217,7.739582811739067
218,8.394063829273511
219,5.872421668075957
220,11.209546463126703
221,10.90187437163358
222,11.217284503527866
223,11.250764167646102
224,2.3539628357131486
225,9.141774510108732
226,8.828066496714548
227,11.137543103511321
228,5.846315389425318
229,11.190564569388206
230,4.985063424040142
231,5.136908011728553
232,8.188286460480896
233,9.104062827693987
234,6.590204335812074
235,8.061122701343502
236,5.175904556798174
237,-1.4745060924094155
238,9.063260275131872
239,5.997514465981242
240,6.257485711382314
241,2.462348855466108
242,11.173077243599021
243,8.789661092072377
244,11.078329919244066
245,11.20870714532125
246,2.3298309136770676
247,11.03275037828243
248,2.7733609409731406
249,11.216674680960796
250,4.8080975819031755
251,5.73160536107252
252,6.9761812763572255
253,10.114943701627066
254,5.779860307440562
255,4.573135957029673
256,9.086373989796918
257,7.3656443627212695
258,6.601534665470132
259,3.6285442601075744
260,4.058047888739055
261,7.2863735845332
262,10.314314172753916
263,8.487789195241014
264,7.178322686622597
265,10.628543201857283
266,4.308038630129795
267,9.358161585863112
268,9.584387606154667
269,9.35577856532633
270,9.170729280245606
271,7.779493004902153
272,9.44649159200024
273,11.072779515114394
274,9.489702275582541
275,8.424051677692475
276,5.17314954410985
277,7.880394710807828
278,6.961928892467196
279,8.770875523489584
280,10.804616336134945
281,6.993300027504717
282,5.657338382246457
283,8.891458178517139
284,10.682609606263693
285,9.209364267494207
286,8.971164009322663
287,9.433803468739764
288,9.347941001834911
289,8.493489798923825
290,10.253659942968653
291,8.408973083840934
292,6.9081286483910675
293,8.758478314037522
294,7.2994408310862315
295,10.55318188832236
296,0.8819597844973757
297,7.2579367600185005
298,9.98606023388948
299,8.216262782757273
300,10.497918802262037
301,8.46098235542918
302,10.076576134989141
303,10.52097697277003
304,9.882296774565974
305,10.59196210008749
306,8.792249949551536
307,11.18227323188997
308,10.464778188271941
309,10.747943528009483
310,0.7723846981818898
311,11.24151606072255
312,9.717890919979576
313,10.900726606330117
314,11.546749761134832
315,11.194462410583402
316,4.8687351570651325
317,10.387286202792652
318,7.098836833665317
319,10.0042922538454
320,9.142271874262477
321,2.3335792511372695
322,3.554941187492495
323,9.724337477888108
324,7.40785387475558
325,10.261292829988939
326,11.278105146719913
327,10.183611105972235
328,6.260203695110075
329,10.239506317946137
330,7.389668204255501
331,10.186122330058998
332,4.906561140527529
333,4.213085058554826
334,10.409696195996855
335,8.714666622457713
336,7.022659489837396
337,11.212340571398666
338,11.091454808378996
339,8.020853722637298
340,8.933082263952347
341,10.686754714486943
342,6.942120167299269
343,2.789880709672115
344,9.19988856942998
345,5.635637085666963
346,10.591634878059095
347,11.093325220502598
348,10.723367467485604
349,11.355612140446157
350,7.803317246095316
351,9.886385003790275
352,9.29920971728994
353,11.187311802628532
354,8.537086300309758
355,6.954260234479195
356,8.623873107875333
357,6.160463632963372
358,8.366944759709774
359,8.281447607843917
360,6.572914652869789
361,5.302071863352507
362,3.2126403593115267
363,6.102283534034239
364,10.402607647550488
365,8.306637743257927
366,5.245444126479744
367,7.016990255589967
368,6.2909962066709975
369,4.3822864697791415
370,9.787656664118366
371,8.115179724819075
372,9.348917337470251
373,7.948923647126121
374,8.672165516345403
375,-5.782001327150652
376,8.083506351174098
377,5.964053621612065
378,10.5986067062418
379,7.483605177362588
380,10.8438114898978
381,8.222416774557152
382,6.421595781639377
383,11.400438919379848
384,6.392002164164005
385,7.674811816364144
386,10.283705319530972
387,8.648827298894137
388,10.13538896120607
389,4.4228236594953
390,7.062832757446824
391,9.19742115709024
392,10.536787328802777
393,8.458373460214712
394,8.684272089859737
395,8.754771349872906
396,10.688899733402284
397,-1.70438718552486
398,7.721269334971362
399,6.597990915112708
400,10.53991836788015
401,8.283772062066792
402,10.491991809637573
403,10.832233064589529
404,7.5936457392185295
405,10.077963681695897
406,9.522762067630977
407,9.571121565423566
408,9.690072973855802
409,9.427857057501573
410,10.63349828958698
411,10.86737366203601
412,10.755443291356345
413,11.133807899838757
414,10.808927676177724
415,10.766561665292748
416,11.19790153420287
417,10.16366998321924
418,10.252195340361563
419,10.615075458164462
420,10.13523716839272
421,11.160271575200449
422,7.356038128494888
423,7.390408496922977
424,10.706884554587239
425,10.327563315267133
426,10.158512306473574
427,4.358083015222118
428,10.56061188678169
429,7.896176109588777
430,10.445926375595352
431,10.263586422893862
432,4.3322428588203925
433,10.229995071990315
434,10.170251091198965
435,10.421204610391893
436,9.446613874673544
437,6.779949833386268
438,10.72347270072185
439,10.971742807431607
440,8.895253265579424
441,10.660999752017617
442,10.338981577944448
443,11.195756745117448
444,10.874393577305936
445,5.537753593811011
446,9.71742127026381
447,9.312522494743892
448,10.196900984244866
449,11.26827843548144
450,10.23642591438805
451,10.177078131565924
452,10.485419367749738
453,11.066483399739356
454,10.804614623128519
455,5.4576392659643345
456,4.799378461554635
457,11.114915596089388
458,8.557413626532039
459,11.224220429634013
460,8.323448319454794
461,11.190293892249576
462,11.181033658533519
463,6.135523307622339
464,11.372920483412841
465,8.053910841579933
466,11.226227352642082
467,10.907806412283227
468,7.519476024327488
469,8.93993361373623
470,11.171412193455847
471,9.187225349081274
472,10.398970561103761
473,11.056014099953922
474,6.851823058083935
475,11.03453845936117
476,11.130298377899768
477,4.852960440014493
478,10.97736635483671
479,-8.568689527740776
480,11.199993938467312
481,7.47591112224476
482,10.89931101579819
483,9.92725329345206
484,10.537629735935978
485,11.361098511760442
486,10.534214072516862
487,10.977087265785922
488,7.898524858486918
489,11.6847998500369
490,11.105054026115187
491,10.889926220625073
492,6.855231032392021
493,4.357173404790718
494,8.95709845521502
495,8.439270713036594
496,10.38054466765517
497,8.521040063175734
498,11.017578698860062
499,11.204061079387511
500,11.380343896082833
501,10.408174743002347
502,10.55343791711609
503,7.698412467257915
504,9.69173595877675
505,10.677610153282568
506,6.960988239051931
507,10.492503998249406
508,1.1083372837206777
509,9.355984935280791
510,6.040364599467073
511,11.04201008810354
512,11.24341171926871
513,10.706006854156087
514,9.773159667178177
515,7.772048499998697
516,11.016246946521715
517,9.958157938806703
518,11.282930477752304
519,10.46146527995535
520,10.322159917606564
521,10.940673568118697
522,1.0367555105246442
523,10.882524880634652
524,8.735048589447828
525,6.998529695482507
526,8.503218990245845
527,8.805488855549214
528,11.246833329824064
529,10.59351646602895
530,11.389033831155356
531,7.04036952651022
532,10.72993987082212
533,11.351877739634732
534,7.128028998249705
535,10.930616428523015
536,9.045556935857542
537,10.269037056171129
538,11.390849408843984
539,10.539077999121439
540,10.775071733027445
541,-15.01270289338497
542,11.477655706407218
543,9.666875468537825
544,9.185438604124883
545,9.46863000865416
546,10.551998628767974
547,6.952547904167251
548,10.565010740189212
549,10.760686667472743
550,6.02548931593032
551,9.665925019844025
552,8.8926749855505
553,10.588486683524804
554,10.000108061873698
555,9.646064094889645
556,8.956592179508648
557,8.921701655879215
558,7.9958235065620995
559,8.299629060237622
560,10.266664847764863
561,9.05270987707355
562,3.6611960944400437
563,8.560680133738302
564,10.806216724959446
565,9.057350350950562
566,7.142395454626577
567,7.9530073024844805
568,5.435246339002712
569,8.85897532691515
570,10.54925100532456
571,10.341034705247704
572,7.914257472805378
573,10.571075053822037
574,2.709144447724249
575,10.711436822435187
576,9.259467062755744
577,9.438684170767802
578,10.593479875693873
579,9.848984485572432
580,8.285028134980989
581,9.298710787418612
582,9.375347090920789
583,7.0495877162912794
584,6.468563513370158
585,8.58837170592883
586,5.958384760743199
587,3.9063132930374254
588,8.584236711792789
589,9.687978459081842
590,7.27754180278382
591,2.645766239373687
592,10.20771675316985
593,10.56149639639471
594,7.649734958393916
595,8.467373380913337
596,9.194290906729142
597,9.25206895777517
598,6.854937738474717
599,8.469248883376927
600,7.8297698921367775
601,8.192819139616471
602,11.574621398332813
603,11.368915389623405
604,10.854151184215638
605,9.07791123657809
606,11.159184777796941
607,11.964844992763112
608,10.969969568355488
609,10.619833392805633
610,11.043879422360662
611,6.492933138162601
612,9.546195505384059
613,11.807087040668453
614,10.838668531238522
615,8.21956396309505
616,10.627978469569577
617,11.800578546820491
618,9.57458423821082
619,11.779792622615528
620,8.105784127352685
621,7.542845214407198
622,9.971544214711386
623,10.99142848645905
624,9.892499994740222
625,10.184097407361504
626,10.877113182488376
627,9.918253107255078
628,8.8548160245152
629,7.335477906501788
630,8.644219374422406
631,11.595827320850194
632,10.798171202440564
633,8.184279215975979
634,10.412629450927001
635,11.05724213921533
636,11.024421474933305
637,11.083932591884572
638,10.26410410517975
639,9.754701128994462
640,8.301821666810268
641,10.632132851081966
642,9.57097233979544
643,9.858263664560482
644,7.502012994060944
645,11.447631380248033
646,10.967657590374301
647,10.89619386729905
648,5.729935816445782
649,8.356990113239776
650,8.903520813351415
651,9.202215681748747
652,10.27560910596655
653,1.0693596959557539
654,11.049012401022207
655,9.123867829551223
656,10.455404823126027
657,9.024300935584584
658,11.038254766408068
659,6.897589230185711
660,10.854714081531618
661,3.9029733174346095
662,3.930342436582409
663,5.542943962324791
664,3.7241866438031153
665,11.093003546992854
666,10.294139292668605
667,5.09590419839245
668,11.016245961072437
669,8.451387103659611
670,10.419542647190614
671,10.115005062566047
672,6.916110524597857
673,8.729318477665725
674,10.834843202690777
675,10.8729124084129
676,10.330051961923767
677,11.216262686840587
678,10.724644966764926
679,9.249984872521251
680,9.462812906858082
681,7.581853123317157
682,10.581993952652246
683,9.803429770208156
684,4.21969138446065
685,11.170899443392445
686,7.423369160869559
687,9.429279249122956
688,8.861874496248134
689,7.712321745248326
690,11.000568607783022
691,9.026846502089112
692,10.789762975053387
693,7.559183125280802
694,10.516476951825501
695,9.674719873455619
696,5.378023039604232
697,9.152913000681112
698,2.1372216503369765
699,9.527193902289554
700,7.570275985123339
701,10.595936920887269
702,9.319193792671728
703,7.660770038468122
704,7.67162119642977
705,8.480320162199956
706,10.13487060754524
707,9.270570596933334
708,10.823186363046787
709,4.583032273237791
710,7.961721286505117
711,10.833625329640853
712,8.057581270157899
713,10.13390901525889
714,10.915068443732384
715,6.035493814676833
716,7.481499708674614
717,11.168352834923164
718,6.718246274841341
719,9.34130636630654
720,6.497764709196008
721,6.160139556255816
722,4.176627915461441
723,9.28694984793375
724,11.093046150098685
725,6.202224643786412
726,10.946776397821004
727,6.721085358392131
728,9.159512556397988
729,8.36554354129662
730,10.702214583877323
731,9.90671845588442
732,10.763945777794872
733,8.505583455335225
734,11.040859074438394
735,7.5133774193277105
736,8.95664911239839
737,9.422033082810042
738,10.490463347767934
739,10.914772006760574
740,10.654958235837933
741,10.338277028709076
742,10.791697167639189
743,11.501395532884574
744,9.177826578748833
745,10.461090939646427
746,5.590963141457295
747,5.841721397887981
748,11.734482999062612
749,11.556860805872613
750,11.282322523004934
751,6.448442339535472
752,9.006356038129347
753,10.64907533716184
754,7.820751136188013
755,12.534437953105451
756,12.489692882952985
757,12.396248788575077
758,4.025668397926659
759,7.82987630603023
760,12.16801084466895
761,6.716682805461834
762,7.108013387063904
763,11.366644511043264
764,9.772900153145205
765,12.184987164410476
766,12.305884556568667
767,7.713737376185339
768,13.077225803234976
769,10.021782624483667
770,13.39617195744914
771,7.823378341305213
772,11.441583669684237
773,-2.1943530218098033
774,12.453025672477477
775,8.173220687585504
776,8.700678110360563
777,12.368006538495917
778,12.43509964675136
779,12.44151414275771
780,8.723832567092439
781,12.621771710760909
782,7.726391661865662
783,7.543894425632532
784,12.466668114541498
785,12.190026272103209
786,10.805202894555716
787,8.801058811120619
788,7.882402580612796
789,12.831329323987632
790,10.786851854456275
791,6.450411342718331
792,9.276051625945607
793,12.820659904144087
794,13.514174635562824
795,9.872359831433773
796,11.99621942377589
797,6.470832457174049
798,8.049449763020485
799,11.787170146556948
800,11.822819883777983
