,rewards
0,0.0
1,0.831587195805815
2,0.4688485776030227
3,-11.499806036765017
4,-9.699532628101432
5,-15.874014475383957
6,7.399899890840283
7,-48.563676486259936
8,-16.084395933844988
9,-6.951910251249455
10,-36.74717365440099
11,-46.550418357973584
12,3.6872712542530355
13,-16.988347860258404
14,-24.422472046225753
15,-12.338433009487236
16,-16.285235848956713
17,-15.455496766041538
18,4.452405791008548
19,-3.2861262698167533
20,-30.525075328513264
21,-12.157528482036483
22,-36.088670627678816
23,-26.61294178525166
24,1.5421460972515657
25,-32.83799902643156
26,-30.052411547131626
27,-23.11179424691461
28,-16.667264488692947
29,-16.71919040457381
30,-29.69754295431609
31,-12.042416216030471
32,0.251919487013641
33,-9.493982360046319
34,-22.1715122660513
35,-19.429341052121405
36,-15.815125645350165
37,-19.49106611096707
38,-2.9027658651803314
39,-31.464488691595534
40,-11.982235699345535
41,2.9214591442078603
42,-4.1666833488462895
43,-28.575232458510463
44,-8.412012483235246
45,-31.057411209230654
46,-32.295647076445704
47,-2.5514966105184893
48,-3.189314451698271
49,-49.738779582520394
50,-7.8487071454970305
51,-11.842090071765675
52,-3.3292728268245675
53,-13.713800721729886
54,-1.8030071062260475
55,6.303065973253399
56,4.631727785722109
57,-8.670645600052884
58,-1.112226874719651
59,-1.6708184168304552
60,5.2166335084677
61,-12.058148582884058
62,-13.986577638448148
63,-30.078868534820934
64,4.843584964907176
65,-20.689502206036387
66,-7.183700572269277
67,5.42098582176931
68,6.728279250436239
69,1.8201032448600785
70,-4.107547521407586
71,3.2755667399308006
72,7.750790667338142
73,-1.6976818458926957
74,-17.088998672790456
75,-4.983889690488832
76,-5.03923857714181
77,-26.005460276608005
78,5.46882142019899
79,-32.22335038306744
80,6.939759422748918
81,-14.834922368326728
82,-27.07827890078454
83,-3.5885144605090726
84,2.947112146031153
85,5.183812388275589
86,-10.777287218775937
87,4.079095081413924
88,5.2121014286779825
89,8.879736329485869
90,3.4177699628183937
91,3.9414630119922656
92,-5.98993988978508
93,-36.019339295601455
94,4.077265157171305
95,2.780137979785297
96,-4.316092017225156
97,-2.2814062570954547
98,2.890840943649236
99,1.1875303324901765
100,-10.688658442858701
101,-1.0220196182834034
102,-9.47768064738836
103,7.944346647141137
104,-9.215474095977031
105,4.763535322155162
106,1.9371493814838399
107,-3.6842044542291017
108,-1.0785046612722553
109,0.8759653585157103
110,-3.3353130789540018
111,-10.079383720737232
112,-3.505226575670669
113,-8.51773460249313
114,-1.3423324457821018
115,-21.321811132544497
116,-5.249818459922313
117,-17.863780710555115
118,-13.255112675127478
119,-1.596289009465993
